Zone	Org District	AC	Org Mandal	LBName	2020 LSG		2024 GE		2025 LSG	
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Vechoochira Gramapanchayath	6.90%	1001	21.20%	2497	22.20%	3966
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Naranammuzhi Gramapanchayath	6.14%	597	21.50%	1798	22.50%	2688
Thiruvananthapuram	Pathanamthitta	Konni	Chittar	Seethathodu	13.52%	1385	21.60%	1854	22.60%	2859
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Kozhanchery Gramapanchayath	13.08%	934	26.20%	1700	39%	3870
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Cherukole Gramapanchayath	29.28%	2365	30.60%	2081	39%	4244
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Ranni Angadi Gramapanchayath	8.75%	815	18.10%	1366	19.10%	2397
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Ranni Gramapanchayath	18.35%	1591	30.50%	2221	31.50%	3534
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Ranni Pazhavangadi Gramapanchayath	6.38%	939	17.90%	2272	18.90%	3916
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Elanthoor	19.60%	1843	25%	2537	39%	5006
Alappuzha	Alappuzha South	Kayamkulam	Chettikulangara	Krishnapuram Gram panchayat	23.10%	4510	34%	5265	39%	9310
Alappuzha	Alappuzha South	Mavelikkara	Charummoodu	Vallikkunnam grama panchayat	23.35%	4915	20.10%	3600	39%	10092
Palakkad 	Palakkad West	Pattambi	Pattambi	Ongallur Gramapanchayath	13.63%	3657	16.90%	4627	25%	8402
Alappuzha	Alappuzha South	Mavelikkara	Mavelikkara	Thamarakkulam Grama Panchayath	24.02%	4548	16.90%	2722	39%	8728
Alappuzha	Alappuzha South	Mavelikkara	Mavelikkara	Nooranadu grama panchayat	28.17%	5042	19.40%	2881	39%	8487
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Chenneerkara Gramapanchayath	18.44%	2271	22.60%	2455	23.60%	3868
Alappuzha	Alappuzha South	Mavelikkara	Charummoodu	Chunakkara grama panchayat	22.13%	3486	16.90%	2268	39%	7653
Alappuzha	Alappuzha North	Cherthala	Cherthala	Cherthala	15.11%	4644	26%	7331	27%	9624
Palakkad 	Wayanad	Mananthavady	Panamaram	Thondernad	15.24%	2234	17%	2232	25%	4258
Alappuzha	Alappuzha South	Mavelikkara	Mavelikkara	Thazhakkara grama panchayat	29.63%	7118	20.30%	4123	39%	12051
Alappuzha	Alappuzha South	Chenganur	Mannar	Chennithala Thripperumthura gram panchayat	21.92%	4030	19.80%	3036	39%	9278
Alappuzha	Alappuzha South	Kayamkulam	Kayamkulam	Kayamkulam	14.90%	6787	26.70%	11290	27.70%	15391
Alappuzha	Alappuzha South	Haripad	Karthikappalli	Chingoli gram panchayat	10.87%	1059	35.50%	2503	36.50%	4045
Alappuzha	Alappuzha South	Mavelikkara	Mavelikkara	Mavelikkara Thekkakkara Grama Panchayat	30.65%	6412	20.70%	3760	39%	10142
Alappuzha	Alappuzha South	Haripad	Haripad	Cheruthana Grama Panchayath	15.86%	1439	30.90%	2453	39%	3824
Alappuzha	Alappuzha South	Haripad	Karthikappalli	Arattupuzha	12.92%	2599	24.50%	4250	25.50%	5998
Alappuzha	Alappuzha South	Haripad	Haripad	Karuvatta Grama Panchayath	17.81%	2474	37%	4099	39%	6438
Alappuzha	Alappuzha South	Haripad	Karthikappalli	Cheppad Grama Panchayat	18.01%	2383	35.80%	4359	36.80%	5410
Alappuzha	Alappuzha South	Kayamkulam	Kayamkulam	Kandalloor	12.55%	1837	36.40%	4634	37.40%	6118
Alappuzha	Alappuzha South	Chenganur	Chengannur	Venmony	30.71%	4131	20%	1985	39%	6880
Alappuzha	Alappuzha South	Chenganur	Chengannur	Mulakkuzha grama panchayat	22.83%	4135	18.40%	3164	39%	9450
Alappuzha	Alappuzha South	Chenganur	Chengannur	Thiruvnavandoor Grama Panchayat	35.14%	3657	28.80%	2286	39%	4951
Alappuzha	Alappuzha South	Kayamkulam	Chettikulangara	Bharanikkavu Gram Panchayat	14.84%	3747	27.40%	6177	28.40%	8763
Alappuzha	Alappuzha South	Mavelikkara	Charummoodu	Palamel gram panchayat	16.37%	3698	13%	2455	17.37%	4840
Alappuzha	Alappuzha South	Chenganur	Chengannur	Pandanad grama panchayat	18.41%	1489	20.20%	1334	39%	3914
Alappuzha	Alappuzha South	Chenganur	Mannar	Budhanoor Grama Panchayat	33.43%	4504	19.40%	2123	39%	6039
Alappuzha	Alappuzha South	Chenganur	Mannar	Mannar grama panchayat	20.73%	3902	22%	3588	23%	5339
Alappuzha	Alappuzha South	Chenganur	Mannar	Puliyoor panchayath	21.83%	2359	21.70%	1993	39%	5639
Alappuzha	Alappuzha South	Chenganur	Chengannur	Ala	24.07%	2074	18.70%	1300	39%	4241
Alappuzha	Alappuzha South	Chenganur	Mannar	Cheriyanadu panchayat	23.03%	3284	21.10%	2250	39%	7296
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Neelamperoor gram panchayat	28.60%	2552	21.40%	1652	39%	3960
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Veeyapuram Grama Panchayath	7.35%	567	12.40%	850	13.40%	1257
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Omalloor Gramapanchayath	29.79%	3308	32.10%	3259	39%	5597
Alappuzha	Alappuzha South	Haripad	Haripad	Pallippadu panchayat	19.25%	2149	31.10%	3453	32.10%	4469
Alappuzha	Alappuzha North	Ambalappuzha	Ambalappuzha	Purakkad Grama Panchayat	20.79%	4036	37.40%	6408	39%	8659
Alappuzha	Alappuzha South	Haripad	Haripad	Kumarapuram gram panchayat	13.84%	2092	38%	4852	39%	6836
Alappuzha	Alappuzha South	Haripad	Karthikappalli	Trikkunnappuzha grama panchayath	11.96%	2261	26.80%	4532	27.80%	6181
Alappuzha	Alappuzha North	Ambalappuzha	Mullakkal	Punnapra North grama panchayat	24.82%	4405	33.40%	5683	39%	8220
Alappuzha	Alappuzha North	Ambalappuzha	Ambalappuzha	Ambalapuzha South	28.82%	4252	37.80%	5074	39%	6556
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Ezhumattoor Gramapanchayath	5.80%	648	27.60%	2798	39%	6333
Alappuzha	Alappuzha North	Cherthala	Muhamma	Thanneermukkam grama panchayat	21.82%	6080	26.60%	9774	39%	12749
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Thottappuzhassery Gramapanchayath	8.85%	760	24%	1819	39%	4413
Alappuzha	Alappuzha North	Aroor	Aroor	Kodamthuruthu gram panchayat	30.92%	4401	27.10%	3434	39%	6059
Alappuzha	Alappuzha North	Aroor	Aroor	Kuthiyathodu grama panchayat	21.06%	3257	26.60%	3822	39%	6459
Alappuzha	Alappuzha North	Aroor	Aroor	Ezhupunna gram panchayat	14.87%	2521	26.70%	3629	39%	7870
Alappuzha	Alappuzha North	Aroor	Panavally	Thaikkattussery Grama Panchayath	25.20%	3512	25.50%	4465	39%	6126
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Veliyanadu grama panchayat	13.90%	1144	13.30%	923	14.90%	1466
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Ramankari Grama Panchayat	14.75%	1178	12%	801	15.75%	1510
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Muttar Grama Panchayat	15.78%	928	12.40%	581	16.78%	1184
Alappuzha	Alappuzha North	Aroor	Panavally	Panavalli grama panchayat	21.21%	4278	27.50%	4893	39%	8673
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Pulinkunnu grama panchayat	11.28%	1464	15.60%	1616	16.60%	2625
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Kavalam gram panchayat	15.02%	1370	16%	1182	17%	1544
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Nedumudi village panchayat	7.97%	989	11.50%	1163	12.50%	1876
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Thalavady Grama Panchayat	8.49%	1043	15.70%	1565	16.70%	2635
Alappuzha	Alappuzha North	Aroor	Panavally	Chennam Pallipuram grama panchayat	21.86%	4308	26.10%	4066	39%	8565
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Champakulam Grama Panchayath	10.34%	1017	14.10%	1184	15.10%	1841
Alappuzha	Alappuzha North	Kuttanad	Kuttanadu	Kainakari gram panchayat	9.58%	1050	11.10%	1115	12.10%	1640
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Edathwa grama panchayat	7.47%	915	11.80%	1197	12.80%	1980
Alappuzha	Kottayam East	Puthuppally	Ayarkunnam	Ayarkunnam	16.40%	3318	22.10%	4049	39%	10128
Alappuzha	Kottayam West	Kottayam	Panachikadu	Panachikadu Gramapanchayath	18.81%	4931	23.50%	5366	39%	12521
Alappuzha	Idukki South	Udumbanchola	Vandanmedu	Karunapuram Gramapanchayath	10.58%	1754	17.60%	2657	25%	5269
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Mallappally	Puramattam Gramapanchayath	5.80%	486	15.30%	1207	16.30%	1956
Alappuzha	Kottayam East	Changanassery	Madappally	Kurichy Gramapanchayath	17.97%	3925	13.80%	2621	39%	10895
Alappuzha	Alappuzha North	Cherthala	Muhamma	Muhamma gram panchayat	13.12%	2279	23.70%	NA	24.70%	4864
Alappuzha	Alappuzha North	Alappuzha	Mararikkulam	Mararikulam South Grama Panchayat	15.24%	5190	20.30%	5894	21.30%	8806
Alappuzha	Alappuzha North	Alappuzha	Mararikkulam	Mannancherry Grama Panchayat	16.52%	5645	25.30%	8093	26.30%	10329
Alappuzha	Kottayam East	Poonjar	Mundakkayam	Koruthode Gramapanchayath	11.64%	1166	24.70%	314	39%	4572
Alappuzha	Kottayam East	Poonjar	Mundakkayam	Koottickal Gramapanchayath	2.52%	236	25.40%	1932	39%	4194
Alappuzha	Alappuzha North	Cherthala	Cherthala	Kadakarappally Grama Panchayat	17.13%	2329	24.30%	3121	25.30%	3905
Palakkad 	Palakkad East	Nenmara	Nenmara	Pudunagaram Gramapanchayath	18.30%	2215	13.40%	1408	25%	3576
Alappuzha	Alappuzha North	Cherthala	Muhamma	Cherthala south Grama Panchayat	13.09%	3470	20.10%	4361	21.10%	6122
Alappuzha	Alappuzha North	Cherthala	Muhamma	Kanjikuzhi grama panchayat	11.24%	2495	22.80%	7275	23.80%	5934
Alappuzha	Alappuzha North	Cherthala	Cherthala	Vayalar Grama Panchayath	12.35%	2094	26%	4223	27%	5218
Alappuzha	Alappuzha North	Cherthala	Cherthala	Pattanakkad Grama Panchayat	9.73%	2194	24.20%	5386	25.20%	6410
Alappuzha	Kottayam East	Kanjirappally	Vazhoor	Karukachal Gramapanchayath	20.27%	3053	25.40%	3377	39%	7190
Alappuzha	Kottayam East	Kanjirappally	Kanjirappally	Vellavoor Gramapanchayat	21.26%	2328	29.20%	2956	39%	5366
Alappuzha	Kottayam East	Kanjirappally	Kanjirappally	Chirakkadavu Gramapanchayath	31.33%	7497	31.50%	6542	39%	11955
Alappuzha	Kottayam East	Changanassery	Changanassery	Thrikkodithanam Gramapanchayath	19.17%	4135	14.10%	2615	39%	11270
Alappuzha	Alappuzha North	Aroor	Aroor	Aroor	13.87%	3340	23.50%	4987	24.50%	7247
Alappuzha	Kottayam East	Changanassery	Madappally	Madappally Gramapanchayath	13.08%	2674	11.20%	1970	39%	10385
Palakkad 	Malappuram Central	Kondotty	Vazhakkad	Vazhayoor	15.48%	3270	18.60%	3451	25%	5994
Alappuzha	Kottayam West	Kaduthuruthy	Kaduthuruthy	Kidangoor Gramapanchayath	20.96%	2806	20.20%	2250	39%	6771
Alappuzha	Kottayam East	Kanjirappally	Vazhoor	Pallickathodu Gramapanchayath	30.06%	3704	30.10%	3026	39%	5824
Alappuzha	Alappuzha North	Aroor	Panavally	Arukutty	12.22%	1608	16.70%	2100	17.70%	2589
Alappuzha	Kottayam East	Poonjar	Poonjar	Erattupetta	0.60%	113	3.70%	NA	4.70%	1018
Alappuzha	Alappuzha North	Aroor	Panavally	Perumbalam Grama Panchayat	14.38%	992	18.80%	1184	25%	1873
Alappuzha	Kottayam West	Pala	Pala	Pala	1.70%	243	13.40%	1565	14.40%	2632
Alappuzha	Kottayam East	Puthuppally	Ayarkunnam	Kooroppada Gramapanchayath	18.25%	3135	22.40%	3353	39%	8248
Alappuzha	Kottayam West	Pala	Bharananganam	Elikkulam Gramapanchayath	20.22%	3154	20.50%	2744	39%	8014
Alappuzha	Kottayam East	Poonjar	Poonjar	Thidanadu Gramapanchayath	8.01%	1042	32.80%	3396	39%	6426
Alappuzha	Kottayam West	Pala	Bharananganam	Thalappalam Gramapanchayath	18.68%	1583	25.50%	1752	39%	3935
Alappuzha	Kottayam West	Kottayam	Panachikadu	Vijayapuram Gramapanchayath	20.24%	3708	19.60%	2986	21.24%	5088
Alappuzha	Kottayam East	Puthuppally	Puthuppally	Puthuppally Gramapanchayath	15.10%	2779	19.70%	3152	20.70%	4650
Alappuzha	Kottayam East	Poonjar	Poonjar	Teekoy Gramapanchayath	5.91%	416	28.10%	1408	39%	3216
Alappuzha	Kottayam East	Poonjar	Poonjar	Poonjar Thekkekara Grama Panchayat	4.77%	512	33.90%	3022	39%	5082
Alappuzha	Kottayam East	Poonjar	Mundakkayam	Parathodu Gramapanchayath	7.22%	1383	19.60%	3320	20.60%	5375
Alappuzha	Kottayam East	Poonjar	Poonjar	Poonjar Grampanchayath	17.27%	1446	35.60%	2335	39%	4080
Alappuzha	Kottayam East	Poonjar	Mundakkayam	Mundakayam Gramapanchayath	8.61%	1896	21.50%	5831	22.50%	5905
Alappuzha	Kottayam West	Pala	Pala	Mutholy Gramapanchayath	29.75%	3322	22.30%	2113	39%	5629
Alappuzha	Kottayam East	Kanjirappally	Kanjirappally	Kanjirappally Grampanchayath	10.18%	2616	19.70%	4587	20.70%	7031
Alappuzha	Kottayam East	Poonjar	Mundakkayam	Erumely	13.99%	3515	21.90%	8244	22.90%	7647
Alappuzha	Kottayam East	Kanjirappally	Kanjirappally	Manimala Gramapanchayath	6.54%	802	15.50%	1552	16.50%	2651
Alappuzha	Kottayam West	Pala	Bharananganam	Meenachil gramapanchayath	11.90%	1295	20.50%	1920	39%	5604
Alappuzha	Kottayam East	Kanjirappally	Vazhoor	Vazhoor Grampanchayat	14.83%	2389	23.90%	3371	24.90%	4710
Alappuzha	Kottayam West	Pala	Pala	Kozhuvanal Gramapanchayath	5.66%	511	21%	1552	39%	3813
Ernakulam 	Ernakulam North	Perumbavoor	Kuruppampady	Mudakkuzha Gramapanchayath	18.99%	2327	15.70%	1516	25%	3367
Alappuzha	Kottayam East	Kanjirappally	Vazhoor	Kangazha Gramapanchayath	13.76%	1827	19.40%	2090	20.40%	3412
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Koipram Gramapanchayath	23.81%	3746	25.40%	3587	39%	8594
Alappuzha	Kottayam East	Changanassery	Madappally	Vazhapally gram panchayat	5.34%	1103	8.40%	1559	9.40%	2554
Alappuzha	Kottayam East	Puthuppally	Puthuppally	Vakathanam Gramapanchayath	11.16%	2328	17.70%	3162	18.70%	4838
Alappuzha	Kottayam West	Ettumanoor	Kumarakom	Kumarakom Gramapanchayath	17.91%	2513	21.80%	2647	39%	6428
Alappuzha	Kottayam East	Changanassery	Changanassery	Paippadu Gramapanchayath	11.69%	1752	12.60%	1532	13.60%	2564
Alappuzha	Kottayam West	Vaikom	Vaikom	Kallara Grampanchayat	25.28%	2174	25.30%	6068	39%	4290
Alappuzha	Kottayam East	Puthuppally	Puthuppally	Meenadom Gramapanchayath	10.60%	887	15.90%	1156	16.90%	1743
Thiruvananthapuram	Pathanamthitta	Ranni	Ayiroor	Ayiroor	23.14%	3105	37.20%	4395	39%	7201
Alappuzha	Kottayam East	Puthuppally	Ayarkunnam	Manarcadu Gramapanchayath	13.18%	2132	16%	2200	17%	3379
Alappuzha	Idukki South	Peerumade	Elappara	Ayyappankovil	9.12%	800	13.30%	992	39%	4375
Alappuzha	Kottayam East	Puthuppally	Puthuppally	Pampady Gramapanchayath	8.79%	1862	17.40%	3249	18.40%	4874
Alappuzha	Idukki South	Peerumade	Elappara	Upputhara	5.99%	980	12.20%	1520	39%	8570
Alappuzha	Idukki South	Idukki	Idukki	Arakulam	17.02%	1817	13.50%	1343	39%	5446
Alappuzha	Kottayam East	Puthuppally	Ayarkunnam	Akalakkunnam	12.67%	1570	16.20%	1817	17.20%	2629
Alappuzha	Idukki North	Devikulam	Devikulam	Vattavada Gramapanchayath	22.87%	880	14%	1115	39%	1847
Thiruvananthapuram	Pathanamthitta	Thiruvalla	Thiruvalla	Peringara Gramapanchayath	22.24%	3000	25%	2565	39%	7123
Alappuzha	Kottayam West	Pala	Bharananganam	Thalanadu Gramapanchayath	4.26%	195	19.10%	694	20.10%	1021
Alappuzha	Idukki North	Devikulam	Adimali	Pallivasal Gramapanchayat	4.56%	470	9.30%	807	39%	5316
Alappuzha	Idukki North	Devikulam	Adimali	Vellathooval	1.03%	159	10.80%	1400	39%	7796
Alappuzha	Idukki North	Devikulam	Adimali	Baisonvalley Gramapanchayat	6.31%	575	12.60%	1021	39%	4427
Alappuzha	Kottayam West	Pala	Bharananganam	Moonnilavu Gramapanchayath	1.94%	109	16.40%	716	17.40%	1198
Alappuzha	Kottayam West	Pala	Bharananganam	Melukavu Gramapanchayath	2.89%	198	14%	804	15%	1347
Ernakulam 	Ernakulam North	Kalamassery	Karumalloor	Kunnukara Gramapanchayath	16.41%	2566	14.40%	1945	39%	6690
Ernakulam 	Ernakulam North	Aluva	Nedumbassery	Chengamanadu Gramapanchayath	20.40%	4026	16.10%	2879	39%	8394
Alappuzha	Kottayam West	Pala	Pala	Kadanadu Gramapanchayath	2.84%	333	14.80%	1450	15.80%	2224
Ernakulam 	Ernakulam City	Thripunithura	Palluruthy	Kumbalanghy Gramapanchayath	18.30%	3479	14.70%	2620	39%	8674
Alappuzha	Kottayam West	Pala	Pala	Karoor Grampanchayath	10.47%	1472	19.90%	2509	20.90%	4003
Alappuzha	Kottayam West	Pala	Bharananganam	Bharananganam Gramapanchayath	9.02%	892	16.90%	1422	17.90%	2320
Kozhikode 	Kannur South	Peravoor	Iritty	Iritty	19.90%	5687	15.70%	4326	25%	8117
Ernakulam 	Ernakulam City	Vypen	Cherayi	Kuzhuppilly Gramapanchayath	17.06%	1407	17.30%	1202	39%	3766
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Uzhavoor	10.17%	870	17.50%	1360	18.50%	2250
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Kuravilangadu Gramapanchayath	3.98%	440	10.30%	1019	11.30%	1625
Palakkad 	Wayanad	Kalpetta	Padinjarathara	Vengappally	16.21%	1204	20.30%	1408	25%	2126
Alappuzha	Kottayam West	Kaduthuruthy	Kaduthuruthy	Kanakkary Gramapanchayath	15.22%	2008	20.70%	2535	21.70%	4078
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Marangattupally Gramapanchayath	13.51%	1440	19.10%	1621	20.10%	2855
Alappuzha	Kottayam West	Kaduthuruthy	Kaduthuruthy	Kadaplamattom Gramapanchayath	4.98%	416	15.50%	1061	16.50%	1771
Kozhikode 	Kasaragod	Udma	Udma	Chemnad	20.14%	6178	20.30%	6496	25%	9076
Alappuzha	Kottayam West	Ettumanoor	Ettumanoor	Athirampuzha	3.33%	727	12.40%	2462	13.40%	3968
Alappuzha	Kottayam West	Ettumanoor	Kumarakom	Arpookkara	10.56%	1543	19.20%	2436	20.20%	3648
Alappuzha	Kottayam West	Ettumanoor	Kumarakom	Thiruvarppu Gramapanchayat	8.11%	1535	23.20%	3804	24.20%	5343
Ernakulam 	Ernakulam City	Vypen	Cherayi	Nayarambalam Gramapanchayath	10.11%	1490	14.20%	1775	39%	6238
Alappuzha	Kottayam West	Ettumanoor	Ettumanoor	Neendoor Gramapanchayat	11.06%	1377	23.40%	2400	24.40%	3771
Alappuzha	Kottayam West	Vaikom	Thalayolaparambu	Velloor Grama Panchayat	6.31%	887	17.80%	2041	18.80%	3109
Alappuzha	Kottayam West	Vaikom	Thalayolaparambu	Thalayolaparambu Gramapanchayath	4.81%	681	17.70%	2257	18.70%	3385
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Njeezhoor Gramapanchayat	9.70%	1082	16.40%	1563	17.40%	2297
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Mulakkulam Gramapanchayath	13.59%	2266	21%	2790	22%	4610
Ernakulam 	Ernakulam City	Vypen	Vypin	Elamkunnapuzha Gramapanchayath	14.64%	3956	12.40%	3302	39%	13098
Alappuzha	Kottayam West	Kaduthuruthy	Kaduthuruthy	Kaduthuruthy	10.24%	1943	18.60%	3275	19.60%	4607
Alappuzha	Kottayam West	Vaikom	Thalayolaparambu	Udayanapuram	13.52%	2240	24.70%	3634	25.70%	5116
Alappuzha	Kottayam West	Vaikom	Vaikom	Vechoor Grampanchayat	11.20%	1231	24.10%	2310	25.10%	3263
Palakkad 	Palakkad East	Nenmara	Kollengode	Vadavannur gramapanchayat	20.40%	2483	19.40%	1944	25%	3604
Alappuzha	Kottayam West	Vaikom	Thalayolaparambu	Maravanthuruthu Grama Panchayat	5.59%	813	19.70%	2367	20.70%	3444
Alappuzha	Kottayam West	Vaikom	Thalayolaparambu	Chempu Gramapanchayath	11.94%	1624	23.10%	2738	24.10%	3321
Alappuzha	Alappuzha North	Kuttanad	Thakazhy	Thakazhy Grama Panchayat	20.49%	2451	18.10%	1736	25%	3522
Alappuzha	Idukki South	Idukki	Kattappana	Kattappana	8.77%	2161	14.10%	3091	15.10%	4879
Ernakulam 	Ernakulam North	Kalamassery	Kalamassery	Kadungalloor	14.47%	4185	17.90%	4549	39%	13303
Ernakulam 	Thrissur North	Kunnamkulam	Kunnamkulam	Kunnamkulam	24.80%	8678	25.60%	7787	39%	16944
Alappuzha	Idukki South	Peerumade	Elappara	Elappara Gramapanchayath	5.49%	813	9.60%	1249	10.60%	2028
Alappuzha	Idukki South	Peerumade	Peermade	Peermade Gramapanchayath	2.66%	374	5.40%	722	6.40%	1296
Alappuzha	Idukki South	Peerumade	Elappara	Kokkayar Gramapanchayath	5.00%	390	11.90%	754	12.90%	1255
Alappuzha	Idukki South	Peerumade	Peermade	Kumily	4.99%	1062	9.60%	1727	10.60%	2907
Alappuzha	Idukki South	Peerumade	Elappara	Peruvanthanam Gramapanchayath	4.38%	441	8.70%	716	9.70%	1188
Palakkad 	Palakkad East	Chittur	Kozhinjampara	Eruthampathy Gramapanchayath	20.63%	2309	19.60%	2207	25%	3396
Ernakulam 	Thrissur South	Chalakudy	Koratty	Athirappilly	12.29%	713	7%	323	39%	2528
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Karimkunnam Gramapanchayath	4.10%	314	NA	NA	5.10%	502
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Edavetty Gramapanchayath	10.68%	1126	NA	NA	11.68%	1342
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Muttom Gramapanchayath	1.15%	79	NA	NA	2.15%	189
Ernakulam 	Thrissur South	Chalakudy	Koratty	Meloor	18.57%	3423	13.20%	2080	39%	8721
Alappuzha	Idukki South	Peerumade	Peermade	Chakkupallam Gramapanchayath	7.91%	991	8.90%	1030	9.90%	1612
Ernakulam 	Thrissur South	Kodungallur	Mala	Mala	20.48%	4489	14.30%	3137	39%	10880
Alappuzha	Idukki South	Udumbanchola	Vandanmedu	Erattayar	0.15%	19	9.50%	1003	10.50%	1520
Alappuzha	Idukki South	Idukki	Kattappana	Kanchiyar Gramapanchayath	8.10%	1199	15.60%	1916	16.60%	2940
Alappuzha	Kottayam West	Pala	Pala	Ramapuram Gramapanchayath	15.63%	2928	20.80%	3262	25%	6001
Ernakulam 	Thrissur South	Kodungallur	Mala	Kuzhur	16.21%	2218	15.50%	1714	39%	6548
Alappuzha	Idukki South	Idukki	Kattappana	Mariyapuram Gramapanchayath	4.21%	313	7.90%	495	8.90%	879
Alappuzha	Idukki South	Idukki	Idukki	Vazhathope Gramapanchayath	8.50%	954	8.80%	863	9.80%	1437
Alappuzha	Idukki South	Idukki	Kattappana	Kamakshy Gramapanchayath	1.62%	204	8.40%	959	9.40%	1372
Ernakulam 	Thrissur City	Puthukkad	Amballur	Varantharappilly	22.81%	6229	35.30%	9369	39%	12528
Alappuzha	Idukki South	Idukki	Idukki	Vathikudy Gramapanchayath	6.62%	1085	11.30%	1614	12.30%	2443
Alappuzha	Idukki South	Idukki	Idukki	Kanjikkuzhy Gramapanchayath	4.34%	694	12.60%	1681	13.60%	2856
Alappuzha	Idukki South	Idukki	Idukki	Kudayathoor Grampanchayat	14.16%	1063	17%	1030	18%	1700
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Karimannoor Gramapanchayath	7.62%	940	NA	NA	8.62%	1269
Alappuzha	Kottayam West	Kaduthuruthy	Kuravilangadu	Veliyannoor Grampanchayath	3.02%	218	20.90%	1293	25%	2277
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Alakode Gramapanchayat	3.20%	204	NA	NA	4.20%	319
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Kodikulam Gramapanchayath	8.08%	702	NA	NA	9.08%	922
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Udumbannoor	5.92%	904	NA	NA	6.92%	1152
Alappuzha	Idukki North	Thodupuzha	Vannappuram	Vannappuram Gramapanchayath	3.58%	658	NA	NA	4.58%	945
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Rajakumary Gramapanchayat	2.42%	252	7.40%	697	8.40%	1068
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Udumbanchola	3.98%	455	6.90%	744	7.90%	1025
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Nedumkandom Gramapanchayath	7.42%	1746	13.90%	2809	14.90%	4528
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Rajakkad Gramapanchayath	5.89%	551	14%	1237	15%	1772
Palakkad 	Palakkad West	Shornur	Cherpulassery	Thrikkadeeri Grampanchayat	19.48%	2838	20.90%	3487	25%	4087
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Senapathy Gramapanchayath	5.09%	419	11.30%	813	12.30%	1258
Palakkad 	Palakkad East	Alathur	Vandazhi	Vandazhy Gramapanchayath	21.53%	4555	18.60%	3560	25%	5836
Ernakulam 	Thrissur South	Chalakudy	Chalakudy	Kodakara	25.78%	5710	15.50%	3064	39%	9815
Alappuzha	Idukki North	Devikulam	Devikulam	Devikulam Gramapanchayath	0.77%	105	NA	NA	1.77%	342
Ernakulam 	Thrissur South	Kaipamangalam	Edavilangu	Edavilangu	36.37%	5131	27%	3049	39%	6559
Alappuzha	Kottayam East	Kanjirappally	Vazhoor	Nedumkunnam Grampanchayath	18.40%	2466	21.80%	2563	25%	4326
Alappuzha	Idukki South	Udumbanchola	Udumbanchola	Santhanpara Gramapanchayat	7.04%	689	9.20%	756	10.20%	1111
Ernakulam 	Thrissur South	Kaipamangalam	Edavilangu	Sree Narayanapuram	24.48%	6234	18.50%	3803	39%	11875
Ernakulam 	Thrissur South	Kaipamangalam	Kaipamangalam	Perinjanam	21.63%	3104	14.40%	1853	39%	6993
Alappuzha	Idukki North	Devikulam	Devikulam	Munnar Grampanchayat	0.47%	79	3.30%	963	4.30%	1001
Alappuzha	Idukki North	Devikulam	Devikulam	Marayoor Gramapanchayat	6.07%	488	8.30%	618	9.30%	902
Ernakulam 	Thrissur City	Nattika	Nattika	Thalikulam	19.58%	3208	37.30%	5819	39%	8220
