Zone,Org District,AC,Org Mandal,LBName,2020 LSG,,2024 GE,,2025 LSG,
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Pramadam Gramapanchayath,19.52%,4054,29.1%,4917,30.1%,8123
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Aruvappulam,11.33%,1483,26.2%,2820,27.2%,4365
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Konni,17.03%,2992,24.7%,4346,25.7%,5977
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Vechoochira Gramapanchayath,6.9%,1001,21.2%,2497,22.2%,3966
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Naranammuzhi Gramapanchayath,6.14%,597,21.5%,1798,22.5%,2688
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Seethathodu,13.52%,1385,21.6%,1854,22.6%,2859
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Kozhanchery Gramapanchayath,13.08%,934,26.2%,1700,39%,3870
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Cherukole Gramapanchayath,29.28%,2365,30.6%,2081,39%,4244
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ranni Angadi Gramapanchayath,8.75%,815,18.1%,1366,19.1%,2397
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Ranni Gramapanchayath,18.35%,1591,30.5%,2221,31.5%,3534
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Ranni Pazhavangadi Gramapanchayath,6.38%,939,17.9%,2272,18.9%,3916
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Elanthoor,19.6%,1843,25%,2537,39%,5006
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,Krishnapuram Gram panchayat,23.1%,4510,34%,5265,39%,9310
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Vallikkunnam grama panchayat,23.35%,4915,20.1%,3600,39%,10092
Palakkad,Palakkad West,Pattambi,Pattambi,Ongallur Gramapanchayath,13.63%,3657,16.9%,4627,25%,8402
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Thamarakkulam Grama Panchayath,24.02%,4548,16.9%,2722,39%,8728
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Nooranadu grama panchayat,28.17%,5042,19.4%,2881,39%,8487
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Chenneerkara Gramapanchayath,18.44%,2271,22.6%,2455,23.6%,3868
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Chunakkara grama panchayat,22.13%,3486,16.9%,2268,39%,7653
Alappuzha,Alappuzha North,Cherthala,Cherthala,Cherthala,15.11%,4644,26%,7331,27%,9624
Palakkad,Wayanad,Mananthavady,Panamaram,Thondernad,15.24%,2234,17%,2232,25%,4258
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Thazhakkara grama panchayat,29.63%,7118,20.3%,4123,39%,12051
Alappuzha,Alappuzha South,Chenganur,Mannar,Chennithala Thripperumthura gram panchayat,21.92%,4030,19.8%,3036,39%,9278
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Kayamkulam,14.9%,6787,26.7%,11290,27.7%,15391
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Chingoli gram panchayat,10.87%,1059,35.5%,2503,36.5%,4045
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara Thekkakkara Grama Panchayat,30.65%,6412,20.7%,3760,39%,10142
Alappuzha,Alappuzha South,Haripad,Haripad,Cheruthana Grama Panchayath,15.86%,1439,30.9%,2453,39%,3824
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Arattupuzha,12.92%,2599,24.5%,4250,25.5%,5998
Alappuzha,Alappuzha South,Haripad,Haripad,Karuvatta Grama Panchayath,17.81%,2474,37%,4099,39%,6438
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Cheppad Grama Panchayat,18.01%,2383,35.8%,4359,36.8%,5410
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Kandalloor,12.55%,1837,36.4%,4634,37.4%,6118
Alappuzha,Alappuzha South,Chenganur,Chengannur,Venmony,30.71%,4131,20%,1985,39%,6880
Alappuzha,Alappuzha South,Chenganur,Chengannur,Mulakkuzha grama panchayat,22.83%,4135,18.4%,3164,39%,9450
Alappuzha,Alappuzha South,Chenganur,Chengannur,Thiruvnavandoor Grama Panchayat,35.14%,3657,28.8%,2286,39%,4951
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,Bharanikkavu Gram Panchayat,14.84%,3747,27.4%,6177,28.4%,8763
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Palamel gram panchayat,16.37%,3698,13%,2455,17.37%,4840
Alappuzha,Alappuzha South,Chenganur,Chengannur,Pandanad grama panchayat,18.41%,1489,20.2%,1334,39%,3914
Alappuzha,Alappuzha South,Chenganur,Mannar,Budhanoor Grama Panchayat,33.43%,4504,19.4%,2123,39%,6039
Alappuzha,Alappuzha South,Chenganur,Mannar,Mannar grama panchayat,20.73%,3902,22%,3588,23%,5339
Alappuzha,Alappuzha South,Chenganur,Mannar,Puliyoor panchayath,21.83%,2359,21.7%,1993,39%,5639
Alappuzha,Alappuzha South,Chenganur,Chengannur,Ala,24.07%,2074,18.7%,1300,39%,4241
Alappuzha,Alappuzha South,Chenganur,Mannar,Cheriyanadu panchayat,23.03%,3284,21.1%,2250,39%,7296
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Neelamperoor gram panchayat,28.6%,2552,21.4%,1652,39%,3960
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Veeyapuram Grama Panchayath,7.35%,567,12.4%,850,13.4%,1257
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Omalloor Gramapanchayath,29.79%,3308,32.1%,3259,39%,5597
Alappuzha,Alappuzha South,Haripad,Haripad,Pallippadu panchayat,19.25%,2149,31.1%,3453,32.1%,4469
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,Purakkad Grama Panchayat,20.79%,4036,37.4%,6408,39%,8659
Alappuzha,Alappuzha South,Haripad,Haripad,Kumarapuram gram panchayat,13.84%,2092,38%,4852,39%,6836
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Trikkunnappuzha grama panchayath,11.96%,2261,26.8%,4532,27.8%,6181
Alappuzha,Alappuzha North,Ambalappuzha,Mullakkal,Punnapra North grama panchayat,24.82%,4405,33.4%,5683,39%,8220
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,Ambalapuzha South,28.82%,4252,37.8%,5074,39%,6556
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ezhumattoor Gramapanchayath,5.8%,648,27.6%,2798,39%,6333
Alappuzha,Alappuzha North,Cherthala,Muhamma,Thanneermukkam grama panchayat,21.82%,6080,26.6%,9774,39%,12749
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Thottappuzhassery Gramapanchayath,8.85%,760,24%,1819,39%,4413
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram panchayat,30.92%,4401,27.1%,3434,39%,6059
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu grama panchayat,21.06%,3257,26.6%,3822,39%,6459
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram panchayat,14.87%,2521,26.7%,3629,39%,7870
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,25.2%,3512,25.5%,4465,39%,6126
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Veliyanadu grama panchayat,13.9%,1144,13.3%,923,14.9%,1466
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Ramankari Grama Panchayat,14.75%,1178,12%,801,15.75%,1510
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Muttar Grama Panchayat,15.78%,928,12.4%,581,16.78%,1184
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli grama panchayat,21.21%,4278,27.5%,4893,39%,8673
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Pulinkunnu grama panchayat,11.28%,1464,15.6%,1616,16.6%,2625
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Kavalam gram panchayat,15.02%,1370,16%,1182,17%,1544
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Nedumudi village panchayat,7.97%,989,11.5%,1163,12.5%,1876
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Thalavady Grama Panchayat,8.49%,1043,15.7%,1565,16.7%,2635
Alappuzha,Alappuzha North,Aroor,Panavally,Chennam Pallipuram grama panchayat,21.86%,4308,26.1%,4066,39%,8565
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Champakulam Grama Panchayath,10.34%,1017,14.1%,1184,15.1%,1841
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Kainakari gram panchayat,9.58%,1050,11.1%,1115,12.1%,1640
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Edathwa grama panchayat,7.47%,915,11.8%,1197,12.8%,1980
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Ayarkunnam,16.4%,3318,22.1%,4049,39%,10128
Alappuzha,Kottayam West,Kottayam,Panachikadu,Panachikadu Gramapanchayath,18.81%,4931,23.5%,5366,39%,12521
Alappuzha,Idukki South,Udumbanchola,Vandanmedu,Karunapuram Gramapanchayath,10.58%,1754,17.6%,2657,25%,5269
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Puramattam Gramapanchayath,5.8%,486,15.3%,1207,16.3%,1956
Alappuzha,Kottayam East,Changanassery,Madappally,Kurichy Gramapanchayath,17.97%,3925,13.8%,2621,39%,10895
Alappuzha,Alappuzha North,Cherthala,Muhamma,Muhamma gram panchayat,13.12%,2279,23.7%,NA,24.7%,4864
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,Mararikulam South Grama Panchayat,15.24%,5190,20.3%,5894,21.3%,8806
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,Mannancherry Grama Panchayat,16.52%,5645,25.3%,8093,26.3%,10329
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Koruthode Gramapanchayath,11.64%,1166,24.7%,314,39%,4572
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Koottickal Gramapanchayath,2.52%,236,25.4%,1932,39%,4194
Alappuzha,Alappuzha North,Cherthala,Cherthala,Kadakarappally Grama Panchayat,17.13%,2329,24.3%,3121,25.3%,3905
Palakkad,Palakkad East,Nenmara,Nenmara,Pudunagaram Gramapanchayath,18.3%,2215,13.4%,1408,25%,3576
Alappuzha,Alappuzha North,Cherthala,Muhamma,Cherthala south Grama Panchayat,13.09%,3470,20.1%,4361,21.1%,6122
Alappuzha,Alappuzha North,Cherthala,Muhamma,Kanjikuzhi grama panchayat,11.24%,2495,22.8%,7275,23.8%,5934
Alappuzha,Alappuzha North,Cherthala,Cherthala,Vayalar Grama Panchayath,12.35%,2094,26%,4223,27%,5218
Alappuzha,Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat,9.73%,2194,24.2%,5386,25.2%,6410
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Karukachal Gramapanchayath,20.27%,3053,25.4%,3377,39%,7190
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Vellavoor Gramapanchayat,21.26%,2328,29.2%,2956,39%,5366
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Chirakkadavu Gramapanchayath,31.33%,7497,31.5%,6542,39%,11955
Alappuzha,Kottayam East,Changanassery,Changanassery,Thrikkodithanam Gramapanchayath,19.17%,4135,14.1%,2615,39%,11270
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,13.87%,3340,23.5%,4987,24.5%,7247
Alappuzha,Kottayam East,Changanassery,Madappally,Madappally Gramapanchayath,13.08%,2674,11.2%,1970,39%,10385
Palakkad,Malappuram Central,Kondotty,Vazhakkad,Vazhayoor,15.48%,3270,18.6%,3451,25%,5994
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kidangoor Gramapanchayath,20.96%,2806,20.2%,2250,39%,6771
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Pallickathodu Gramapanchayath,30.06%,3704,30.1%,3026,39%,5824
Alappuzha,Alappuzha North,Aroor,Panavally,Arukutty,12.22%,1608,16.7%,2100,17.7%,2589
Alappuzha,Kottayam East,Poonjar,Poonjar,Erattupetta,0.6%,113,3.7%,NA,4.7%,1018
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,14.38%,992,18.8%,1184,25%,1873
Alappuzha,Kottayam West,Pala,Pala,Pala,1.7%,243,13.4%,1565,14.4%,2632
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Kooroppada Gramapanchayath,18.25%,3135,22.4%,3353,39%,8248
Alappuzha,Kottayam West,Pala,Bharananganam,Elikkulam Gramapanchayath,20.22%,3154,20.5%,2744,39%,8014
Alappuzha,Kottayam East,Poonjar,Poonjar,Thidanadu Gramapanchayath,8.01%,1042,32.8%,3396,39%,6426
Alappuzha,Kottayam West,Pala,Bharananganam,Thalappalam Gramapanchayath,18.68%,1583,25.5%,1752,39%,3935
Alappuzha,Kottayam West,Kottayam,Panachikadu,Vijayapuram Gramapanchayath,20.24%,3708,19.6%,2986,21.24%,5088
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Puthuppally Gramapanchayath,15.1%,2779,19.7%,3152,20.7%,4650
Alappuzha,Kottayam East,Poonjar,Poonjar,Teekoy Gramapanchayath,5.91%,416,28.1%,1408,39%,3216
Alappuzha,Kottayam East,Poonjar,Poonjar,Poonjar Thekkekara Grama Panchayat,4.77%,512,33.9%,3022,39%,5082
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Parathodu Gramapanchayath,7.22%,1383,19.6%,3320,20.6%,5375
Alappuzha,Kottayam East,Poonjar,Poonjar,Poonjar Grampanchayath,17.27%,1446,35.6%,2335,39%,4080
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Mundakayam Gramapanchayath,8.61%,1896,21.5%,5831,22.5%,5905
Alappuzha,Kottayam West,Pala,Pala,Mutholy Gramapanchayath,29.75%,3322,22.3%,2113,39%,5629
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Kanjirappally Grampanchayath,10.18%,2616,19.7%,4587,20.7%,7031
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Erumely,13.99%,3515,21.9%,8244,22.9%,7647
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Manimala Gramapanchayath,6.54%,802,15.5%,1552,16.5%,2651
Alappuzha,Kottayam West,Pala,Bharananganam,Meenachil gramapanchayath,11.9%,1295,20.5%,1920,39%,5604
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Vazhoor Grampanchayat,14.83%,2389,23.9%,3371,24.9%,4710
Alappuzha,Kottayam West,Pala,Pala,Kozhuvanal Gramapanchayath,5.66%,511,21%,1552,39%,3813
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,Mudakkuzha Gramapanchayath,18.99%,2327,15.7%,1516,25%,3367
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Kangazha Gramapanchayath,13.76%,1827,19.4%,2090,20.4%,3412
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Koipram Gramapanchayath,23.81%,3746,25.4%,3587,39%,8594
Alappuzha,Kottayam East,Changanassery,Madappally,Vazhapally gram panchayat,5.34%,1103,8.4%,1559,9.4%,2554
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Vakathanam Gramapanchayath,11.16%,2328,17.7%,3162,18.7%,4838
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Kumarakom Gramapanchayath,17.91%,2513,21.8%,2647,39%,6428
Alappuzha,Kottayam East,Changanassery,Changanassery,Paippadu Gramapanchayath,11.69%,1752,12.6%,1532,13.6%,2564
Alappuzha,Kottayam West,Vaikom,Vaikom,Kallara Grampanchayat,25.28%,2174,25.3%,6068,39%,4290
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Meenadom Gramapanchayath,10.6%,887,15.9%,1156,16.9%,1743
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ayiroor,23.14%,3105,37.2%,4395,39%,7201
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Manarcadu Gramapanchayath,13.18%,2132,16%,2200,17%,3379
Alappuzha,Idukki South,Peerumade,Elappara,Ayyappankovil,9.12%,800,13.3%,992,39%,4375
Alappuzha,Kottayam East,Puthuppally,Puthuppally,Pampady Gramapanchayath,8.79%,1862,17.4%,3249,18.4%,4874
Alappuzha,Idukki South,Peerumade,Elappara,Upputhara,5.99%,980,12.2%,1520,39%,8570
Alappuzha,Idukki South,Idukki,Idukki,Arakulam,17.02%,1817,13.5%,1343,39%,5446
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Akalakkunnam,12.67%,1570,16.2%,1817,17.2%,2629
Alappuzha,Idukki North,Devikulam,Devikulam,Vattavada Gramapanchayath,22.87%,880,14%,1115,39%,1847
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Peringara Gramapanchayath,22.24%,3000,25%,2565,39%,7123
Alappuzha,Kottayam West,Pala,Bharananganam,Thalanadu Gramapanchayath,4.26%,195,19.1%,694,20.1%,1021
Alappuzha,Idukki North,Devikulam,Adimali,Pallivasal Gramapanchayat,4.56%,470,9.3%,807,39%,5316
Alappuzha,Idukki North,Devikulam,Adimali,Vellathooval,1.03%,159,10.8%,1400,39%,7796
Alappuzha,Idukki North,Devikulam,Adimali,Baisonvalley Gramapanchayat,6.31%,575,12.6%,1021,39%,4427
Alappuzha,Kottayam West,Pala,Bharananganam,Moonnilavu Gramapanchayath,1.94%,109,16.4%,716,17.4%,1198
Alappuzha,Kottayam West,Pala,Bharananganam,Melukavu Gramapanchayath,2.89%,198,14%,804,15%,1347
Ernakulam,Ernakulam North,Kalamassery,Karumalloor,Kunnukara Gramapanchayath,16.41%,2566,14.4%,1945,39%,6690
Ernakulam,Ernakulam North,Aluva,Nedumbassery,Chengamanadu Gramapanchayath,20.4%,4026,16.1%,2879,39%,8394
Alappuzha,Kottayam West,Pala,Pala,Kadanadu Gramapanchayath,2.84%,333,14.8%,1450,15.8%,2224
Ernakulam,Ernakulam City,Thripunithura,Palluruthy,Kumbalanghy Gramapanchayath,18.3%,3479,14.7%,2620,39%,8674
Alappuzha,Kottayam West,Pala,Pala,Karoor Grampanchayath,10.47%,1472,19.9%,2509,20.9%,4003
Alappuzha,Kottayam West,Pala,Bharananganam,Bharananganam Gramapanchayath,9.02%,892,16.9%,1422,17.9%,2320
Kozhikode,Kannur South,Peravoor,Iritty,Iritty,19.9%,5687,15.7%,4326,25%,8117
Ernakulam,Ernakulam City,Vypen,Cherayi,Kuzhuppilly Gramapanchayath,17.06%,1407,17.3%,1202,39%,3766
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Uzhavoor,10.17%,870,17.5%,1360,18.5%,2250
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Kuravilangadu Gramapanchayath,3.98%,440,10.3%,1019,11.3%,1625
Palakkad,Wayanad,Kalpetta,Padinjarathara,Vengappally,16.21%,1204,20.3%,1408,25%,2126
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kanakkary Gramapanchayath,15.22%,2008,20.7%,2535,21.7%,4078
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Marangattupally Gramapanchayath,13.51%,1440,19.1%,1621,20.1%,2855
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kadaplamattom Gramapanchayath,4.98%,416,15.5%,1061,16.5%,1771
Kozhikode,Kasaragod,Udma,Udma,Chemnad,20.14%,6178,20.3%,6496,25%,9076
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,Athirampuzha,3.33%,727,12.4%,2462,13.4%,3968
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Arpookkara,10.56%,1543,19.2%,2436,20.2%,3648
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,Thiruvarppu Gramapanchayat,8.11%,1535,23.2%,3804,24.2%,5343
Ernakulam,Ernakulam City,Vypen,Cherayi,Nayarambalam Gramapanchayath,10.11%,1490,14.2%,1775,39%,6238
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,Neendoor Gramapanchayat,11.06%,1377,23.4%,2400,24.4%,3771
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Velloor Grama Panchayat,6.31%,887,17.8%,2041,18.8%,3109
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Thalayolaparambu Gramapanchayath,4.81%,681,17.7%,2257,18.7%,3385
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Njeezhoor Gramapanchayat,9.7%,1082,16.4%,1563,17.4%,2297
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Mulakkulam Gramapanchayath,13.59%,2266,21%,2790,22%,4610
Ernakulam,Ernakulam City,Vypen,Vypin,Elamkunnapuzha Gramapanchayath,14.64%,3956,12.4%,3302,39%,13098
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kaduthuruthy,10.24%,1943,18.6%,3275,19.6%,4607
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Udayanapuram,13.52%,2240,24.7%,3634,25.7%,5116
Alappuzha,Kottayam West,Vaikom,Vaikom,Vechoor Grampanchayat,11.2%,1231,24.1%,2310,25.1%,3263
Palakkad,Palakkad East,Nenmara,Kollengode,Vadavannur gramapanchayat,20.4%,2483,19.4%,1944,25%,3604
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Maravanthuruthu Grama Panchayat,5.59%,813,19.7%,2367,20.7%,3444
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,Chempu Gramapanchayath,11.94%,1624,23.1%,2738,24.1%,3321
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Thakazhy Grama Panchayat,20.49%,2451,18.1%,1736,25%,3522
Alappuzha,Idukki South,Idukki,Kattappana,Kattappana,8.77%,2161,14.1%,3091,15.1%,4879
Ernakulam,Ernakulam North,Kalamassery,Kalamassery,Kadungalloor,14.47%,4185,17.9%,4549,39%,13303
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,Kunnamkulam,24.8%,8678,25.6%,7787,39%,16944
Alappuzha,Idukki South,Peerumade,Elappara,Elappara Gramapanchayath,5.49%,813,9.6%,1249,10.6%,2028
Alappuzha,Idukki South,Peerumade,Peermade,Peermade Gramapanchayath,2.66%,374,5.4%,722,6.4%,1296
Alappuzha,Idukki South,Peerumade,Elappara,Kokkayar Gramapanchayath,5%,390,11.9%,754,12.9%,1255
Alappuzha,Idukki South,Peerumade,Peermade,Kumily,4.99%,1062,9.6%,1727,10.6%,2907
Alappuzha,Idukki South,Peerumade,Elappara,Peruvanthanam Gramapanchayath,4.38%,441,8.7%,716,9.7%,1188
Palakkad,Palakkad East,Chittur,Kozhinjampara,Eruthampathy Gramapanchayath,20.63%,2309,19.6%,2207,25%,3396
Ernakulam,Thrissur South,Chalakudy,Koratty,Athirappilly,12.29%,713,7%,323,39%,2528
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Karimkunnam Gramapanchayath,4.1%,314,NA,NA,5.1%,502
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Edavetty Gramapanchayath,10.68%,1126,NA,NA,11.68%,1342
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,Muttom Gramapanchayath,1.15%,79,NA,NA,2.15%,189
Ernakulam,Thrissur South,Chalakudy,Koratty,Meloor,18.57%,3423,13.2%,2080,39%,8721
Alappuzha,Idukki South,Peerumade,Peermade,Chakkupallam Gramapanchayath,7.91%,991,8.9%,1030,9.9%,1612
Ernakulam,Thrissur South,Kodungallur,Mala,Mala,20.48%,4489,14.3%,3137,39%,10880
Alappuzha,Idukki South,Udumbanchola,Vandanmedu,Erattayar,0.15%,19,9.5%,1003,10.5%,1520
Alappuzha,Idukki South,Idukki,Kattappana,Kanchiyar Gramapanchayath,8.1%,1199,15.6%,1916,16.6%,2940
Alappuzha,Kottayam West,Pala,Pala,Ramapuram Gramapanchayath,15.63%,2928,20.8%,3262,25%,6001
Ernakulam,Thrissur South,Kodungallur,Mala,Kuzhur,16.21%,2218,15.5%,1714,39%,6548
Alappuzha,Idukki South,Idukki,Kattappana,Mariyapuram Gramapanchayath,4.21%,313,7.9%,495,8.9%,879
Alappuzha,Idukki South,Idukki,Idukki,Vazhathope Gramapanchayath,8.5%,954,8.8%,863,9.8%,1437
Alappuzha,Idukki South,Idukki,Kattappana,Kamakshy Gramapanchayath,1.62%,204,8.4%,959,9.4%,1372
Ernakulam,Thrissur City,Puthukkad,Amballur,Varantharappilly,22.81%,6229,35.3%,9369,39%,12528
Alappuzha,Idukki South,Idukki,Idukki,Vathikudy Gramapanchayath,6.62%,1085,11.3%,1614,12.3%,2443
Alappuzha,Idukki South,Idukki,Idukki,Kanjikkuzhy Gramapanchayath,4.34%,694,12.6%,1681,13.6%,2856
Alappuzha,Idukki South,Idukki,Idukki,Kudayathoor Grampanchayat,14.16%,1063,17%,1030,18%,1700
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Karimannoor Gramapanchayath,7.62%,940,NA,NA,8.62%,1269
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Veliyannoor Grampanchayath,3.02%,218,20.9%,1293,25%,2277
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Alakode Gramapanchayat,3.2%,204,NA,NA,4.2%,319
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Kodikulam Gramapanchayath,8.08%,702,NA,NA,9.08%,922
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Udumbannoor,5.92%,904,NA,NA,6.92%,1152
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Vannappuram Gramapanchayath,3.58%,658,NA,NA,4.58%,945
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Rajakumary Gramapanchayat,2.42%,252,7.4%,697,8.4%,1068
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Udumbanchola,3.98%,455,6.9%,744,7.9%,1025
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Nedumkandom Gramapanchayath,7.42%,1746,13.9%,2809,14.9%,4528
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Rajakkad Gramapanchayath,5.89%,551,14%,1237,15%,1772
Palakkad,Palakkad West,Shornur,Cherpulassery,Thrikkadeeri Grampanchayat,19.48%,2838,20.9%,3487,25%,4087
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Senapathy Gramapanchayath,5.09%,419,11.3%,813,12.3%,1258
Palakkad,Palakkad East,Alathur,Vandazhi,Vandazhy Gramapanchayath,21.53%,4555,18.6%,3560,25%,5836
Ernakulam,Thrissur South,Chalakudy,Chalakudy,Kodakara,25.78%,5710,15.5%,3064,39%,9815
Alappuzha,Idukki North,Devikulam,Devikulam,Devikulam Gramapanchayath,0.77%,105,NA,NA,1.77%,342
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,Edavilangu,36.37%,5131,27%,3049,39%,6559
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Nedumkunnam Grampanchayath,18.4%,2466,21.8%,2563,25%,4326
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Santhanpara Gramapanchayat,7.04%,689,9.2%,756,10.2%,1111
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,Sree Narayanapuram,24.48%,6234,18.5%,3803,39%,11875
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,Perinjanam,21.63%,3104,14.4%,1853,39%,6993
